ticker,ipo_date,board_note
IBST,31 Agt 2012,PEMANTAUAN KHUSUS
ICBP,07 Okt 2010,UTAMA
ICON,2005-07-08 00:00:00,PEMANTAUAN KHUSUS
IGAR,1990-11-05 00:00:00,PENGEMBANGAN
IIKP,14 Okt 2002,PEMANTAUAN KHUSUS
IKAI,1997-06-04 00:00:00,PEMANTAUAN KHUSUS
IKBI,1991-01-21 00:00:00,PENGEMBANGAN
IMAS,1993-11-15 00:00:00,UTAMA
IMJS,10 Des 2013,PENGEMBANGAN
IMPC,17 Des 2014,UTAMA
INAF,2001-04-17 00:00:00,PEMANTAUAN KHUSUS
INAI,05 Des 1994,PENGEMBANGAN
INCI,1990-07-24 00:00:00,PENGEMBANGAN
INCO,16 Mei 1990,UTAMA
INDF,1994-07-14 00:00:00,UTAMA
INDR,03 Agt 1990,PENGEMBANGAN
INDS,10 Agt 1990,PENGEMBANGAN
INDX,17 Mei 2001,PENGEMBANGAN
INDY,2008-06-11 00:00:00,UTAMA
INKP,1990-07-16 00:00:00,UTAMA
INPC,23 Agt 1990,UTAMA
INPP,2004-01-12 00:00:00,PENGEMBANGAN
INRU,1990-06-18 00:00:00,PENGEMBANGAN
INTA,23 Agt 1993,PEMANTAUAN KHUSUS
INTD,18 Des 1989,PENGEMBANGAN
INTP,05 Des 1989,UTAMA
IPOL,2010-07-09 00:00:00,PENGEMBANGAN
ISAT,19 Okt 1994,UTAMA
ISSP,2013-02-22 00:00:00,UTAMA
ITMA,10 Des 1990,PENGEMBANGAN
ITMG,18 Des 2007,UTAMA
JAWA,30 Mei 2011,PENGEMBANGAN
JECC,1992-11-18 00:00:00,PENGEMBANGAN
JIHD,1984-02-29 00:00:00,PENGEMBANGAN
JKON,04 Des 2007,UTAMA
JPFA,23 Okt 1989,UTAMA
JRPT,1994-06-29 00:00:00,UTAMA
JSMR,2007-11-12 00:00:00,UTAMA
JSPT,1998-01-12 00:00:00,PENGEMBANGAN
JTPE,2002-04-16 00:00:00,UTAMA
KAEF,2001-07-04 00:00:00,PENGEMBANGAN
KARW,20 Des 1994,PEMANTAUAN KHUSUS
KBLI,1992-07-06 00:00:00,UTAMA
KBLM,1992-06-01 00:00:00,PENGEMBANGAN
KBLV,2000-02-25 00:00:00,PENGEMBANGAN
KBRI,2008-07-11 00:00:00,PEMANTAUAN KHUSUS
KDSI,1996-07-29 00:00:00,PENGEMBANGAN
KIAS,08 Des 1994,PEMANTAUAN KHUSUS
KICI,28 Okt 1993,PENGEMBANGAN
KIJA,1995-01-10 00:00:00,UTAMA
KKGI,1991-07-01 00:00:00,UTAMA
KLBF,1991-07-30 00:00:00,UTAMA
KOBX,2012-07-05 00:00:00,PENGEMBANGAN
KOIN,2008-04-09 00:00:00,PEMANTAUAN KHUSUS
KONI,22 Agt 1995,PENGEMBANGAN
KOPI,04 Mei 2015,PENGEMBANGAN
KPIG,2000-03-30 00:00:00,UTAMA
KRAS,2010-11-10 00:00:00,PENGEMBANGAN
KREN,2002-06-28 00:00:00,PEMANTAUAN KHUSUS
LAPD,2001-07-17 00:00:00,PENGEMBANGAN
LCGP,2007-07-13 00:00:00,PEMANTAUAN KHUSUS
LEAD,11 Des 2013,PENGEMBANGAN
LINK,2014-06-02 00:00:00,PENGEMBANGAN
LION,20 Agt 1993,PENGEMBANGAN
LMAS,28 Des 2001,PEMANTAUAN KHUSUS
LMPI,17 Okt 1994,PENGEMBANGAN
LMSH,1990-06-04 00:00:00,PEMANTAUAN KHUSUS
LPCK,1997-07-24 00:00:00,PENGEMBANGAN
LPGI,1997-07-22 00:00:00,PENGEMBANGAN
LPIN,1990-02-05 00:00:00,PENGEMBANGAN
LPKR,1996-06-28 00:00:00,UTAMA
LPLI,23 Okt 1989,PENGEMBANGAN
LPPF,09 Okt 1989,UTAMA
LPPS,1994-03-28 00:00:00,PENGEMBANGAN
LRNA,2014-04-15 00:00:00,PENGEMBANGAN
LSIP,1996-07-05 00:00:00,UTAMA
LTLS,1997-07-21 00:00:00,UTAMA
MAGP,2013-01-16 00:00:00,PEMANTAUAN KHUSUS
MAIN,2006-02-10 00:00:00,UTAMA
MAPI,2004-11-10 00:00:00,UTAMA
MAYA,29 Agt 1997,UTAMA
MBAP,2014-07-10 00:00:00,PENGEMBANGAN
MBSS,2011-04-06 00:00:00,UTAMA
MBTO,2011-01-13 00:00:00,PENGEMBANGAN
MCOR,2007-07-03 00:00:00,UTAMA
MDIA,2014-04-11 00:00:00,PEMANTAUAN KHUSUS
MDKA,2015-06-19 00:00:00,UTAMA
MDLN,1993-01-18 00:00:00,PENGEMBANGAN
MDRN,1991-07-16 00:00:00,PEMANTAUAN KHUSUS
MEDC,12 Okt 1994,UTAMA
MEGA,2000-04-17 00:00:00,UTAMA
MERK,1981-07-23 00:00:00,PENGEMBANGAN
META,2001-07-18 00:00:00,PEMANTAUAN KHUSUS
MFMI,29 Des 2010,PEMANTAUAN KHUSUS
MGNA,2014-07-08 00:00:00,PENGEMBANGAN
MICE,21 Des 2005,PENGEMBANGAN
MIDI,2010-11-30 00:00:00,UTAMA
MIKA,2015-03-24 00:00:00,UTAMA
MIRA,1997-01-30 00:00:00,PEMANTAUAN KHUSUS
MITI,1997-07-16 00:00:00,PENGEMBANGAN
MKPI,2009-07-10 00:00:00,PENGEMBANGAN
MLBI,15 Des 1981,UTAMA
MLIA,1994-01-17 00:00:00,UTAMA
MLPL,1989-11-06 00:00:00,UTAMA
MLPT,2013-07-08 00:00:00,PENGEMBANGAN
MMLP,2015-06-12 00:00:00,UTAMA
MNCN,2007-06-22 00:00:00,UTAMA
MPMX,29 Mei 2013,UTAMA
MPPA,21 Des 1992,PENGEMBANGAN
MRAT,1995-07-27 00:00:00,PENGEMBANGAN
MREI,1989-09-04 00:00:00,UTAMA
MSKY,2012-07-09 00:00:00,PENGEMBANGAN
MTDL,1990-04-09 00:00:00,UTAMA
MTFN,1990-04-16 00:00:00,PEMANTAUAN KHUSUS
MTLA,2011-06-20 00:00:00,UTAMA
MTSM,1992-01-08 00:00:00,PEMANTAUAN KHUSUS
MYOH,2000-07-27 00:00:00,PENGEMBANGAN
MYOR,1990-07-04 00:00:00,UTAMA
MYTX,10 Okt 1989,PEMANTAUAN KHUSUS
NELY,11 Okt 2012,PENGEMBANGAN
NIKL,14 Des 2009,PENGEMBANGAN
NIRO,2012-09-13 00:00:00,PENGEMBANGAN
NISP,20 Okt 1994,UTAMA
NOBU,20 Mei 2013,PENGEMBANGAN
NRCA,2013-06-27 00:00:00,PENGEMBANGAN
OCAP,10 Okt 2003,PEMANTAUAN KHUSUS
OKAS,2006-03-29 00:00:00,PENGEMBANGAN
OMRE,22 Agt 1994,PEMANTAUAN KHUSUS
PADI,2012-01-09 00:00:00,PENGEMBANGAN
PALM,08 Okt 2012,PENGEMBANGAN
PANR,2001-09-18 00:00:00,UTAMA
PANS,31 Mei 2000,UTAMA
PBRX,16 Agt 1990,PEMANTAUAN KHUSUS
