ticker,ipo_date,board_note
SMGR,1991-07-08 00:00:00,UTAMA
SMMA,1995-07-05 00:00:00,UTAMA
SMMT,01 Des 1997,PENGEMBANGAN
SMRA,07 Mei 1990,UTAMA
SMRU,10 Okt 2011,PEMANTAUAN KHUSUS
SMSM,1996-09-09 00:00:00,UTAMA
SOCI,03 Des 2014,PENGEMBANGAN
SONA,1992-07-21 00:00:00,PENGEMBANGAN
SPMA,1994-11-16 00:00:00,PENGEMBANGAN
SQMI,2004-07-15 00:00:00,PEMANTAUAN KHUSUS
SRAJ,2011-04-11 00:00:00,PENGEMBANGAN
SRIL,2013-06-17 00:00:00,PEMANTAUAN KHUSUS
SRSN,1993-01-11 00:00:00,PENGEMBANGAN
SRTG,2013-06-26 00:00:00,UTAMA
SSIA,1997-03-27 00:00:00,UTAMA
SSMS,12 Des 2013,UTAMA
SSTM,20 Agt 1997,PENGEMBANGAN
STAR,2011-07-13 00:00:00,PENGEMBANGAN
STTP,16 Des 1996,PENGEMBANGAN
SUGI,2002-06-19 00:00:00,PEMANTAUAN KHUSUS
SULI,1994-03-21 00:00:00,PENGEMBANGAN
SUPR,11 Okt 2011,PEMANTAUAN KHUSUS
TALF,2014-01-17 00:00:00,PENGEMBANGAN
TARA,2014-07-11 00:00:00,PEMANTAUAN KHUSUS
TAXI,2012-11-02 00:00:00,PEMANTAUAN KHUSUS
TBIG,26 Okt 2010,UTAMA
TBLA,2000-02-14 00:00:00,UTAMA
TBMS,23 Mei 1990,PENGEMBANGAN
TCID,1993-09-30 00:00:00,PENGEMBANGAN
TELE,2012-01-12 00:00:00,PEMANTAUAN KHUSUS
TFCO,1980-02-26 00:00:00,PEMANTAUAN KHUSUS
TGKA,1990-06-11 00:00:00,PENGEMBANGAN
TIFA,2011-07-08 00:00:00,PENGEMBANGAN
TINS,19 Okt 1995,UTAMA
TIRA,1993-07-27 00:00:00,PENGEMBANGAN
TIRT,13 Des 1999,PEMANTAUAN KHUSUS
TKIM,1990-04-03 00:00:00,UTAMA
TLKM,1995-11-14 00:00:00,UTAMA
TMAS,2003-07-09 00:00:00,UTAMA
TMPO,2001-01-08 00:00:00,PENGEMBANGAN
TOBA,2012-07-06 00:00:00,UTAMA
TOTL,2006-07-25 00:00:00,UTAMA
TOTO,30 Okt 1990,PENGEMBANGAN
TOWR,2010-03-08 00:00:00,UTAMA
TPIA,26 Mei 2008,PENGEMBANGAN
TPMA,2013-02-20 00:00:00,UTAMA
TRAM,2008-09-10 00:00:00,PEMANTAUAN KHUSUS
TRIL,2008-01-28 00:00:00,PEMANTAUAN KHUSUS
TRIM,2000-01-31 00:00:00,UTAMA
TRIO,2009-04-14 00:00:00,PEMANTAUAN KHUSUS
TRIS,2012-06-28 00:00:00,PENGEMBANGAN
TRST,1990-07-02 00:00:00,PENGEMBANGAN
