Ticker,Name,Sector,Business Type,Price,Quality Score,Safety Score,Value Score,Composite Score,F-Score,Altman Z,Earnings Yield (EBIT/EV),ROC (Greenblatt),Acquirers Multiple,Net-Net Pass,NCAV per Share,EPV per Share,IV Bear,IV Base,IV Bull,MOS Bear,MOS Base,MOS Bull,Blended IV,MOS Blended,Upside Blended,Verdict,Reasons,Red Flags,Comparables IV,Justified PB IV,Quarters Stale,Latest Filing,Peer Group,Peer Count,Peer PE Median,Peer EV/EBIT Median,Peer PB Median
ARNA,Arwana Citramulia Tbk.,Basic Materials,Cyclical,500.0,75.0,90.3,83.8,83.0,6,6.649290066567016,0.16467099622068598,0.29389802972376616,6.072714825018954,False,41.919909087318885,544.1062137316339,203.1256383999101,312.18540753064036,429.396796996483,-1.4615307252135696,-0.6016123365757448,-0.16442414917243853,560.893994674449,0.10856595943729574,0.12178798934889801,WATCH,MOS 11% attractive but short of buy threshold 30%,,754.6793543416798,,0.45,2026-06-30,Basic Materials | Construction Materials | Construction Materials | Construction Materials,10,12.68567498355167,10.901767958955283,0.5102438604959392
ARTA,Arthavest Tbk.,Properties & Real Estate,Cyclical,2370.0,60.0,76.3,20.0,52.1,6,12.213120904061176,-0.006101802859640648,-0.03255345358249824,-163.88598960060352,False,101.47068695189797,107.2446108542357,242.42070166582351,322.3784371952727,407.8579946610434,-8.776392790360951,-6.351608316670484,-4.810846007737631,195.78233986534855,-1.0,-0.917391417778334,SKIP,MOS -100% below watch threshold 10%,Interest coverage -182.3x,258.94782333058714,,1.45,2026-03-31,Properties & Real Estate | Real Estate | Real Estate Development | Real Estate Development,35,12.379916854923529,9.504502268830333,0.7706297288148782
ARTI,Ratu Prabu Energi Tbk.,Energy,Cyclical,2.0,40.0,47.4,79.0,55.5,2,-21.68259824223665,0.11888360921530436,0.006169481768559111,8.411588499041516,False,-93.0810435497449,,,,,,,,6.627326340155596,0.6982191765807862,2.313663170077798,WATCH,Cheap but F-Score 2/9 shows deteriorating fundamentals,Trailing EBIT -1.2x mid-cycle - possible peak earnings,6.627326340155596,,1.45,2026-03-31,"Energy | Oil, Gas & Coal | Oil & Gas | Oil & Gas Production & Refinery",9,15.064036542847035,8.411588499041516,1.5179638241818716
ARTO,Bank Jago Tbk.,Financials,Financial,1310.0,70.0,83.3,17.5,56.9,6,,,,,False,,,3236.4110149273006,5005.17580575024,6873.231636974889,0.5952306446993642,0.738270931763277,0.8094055214212786,262.42703199982935,-1.0,-0.7996740213741761,SKIP,MOS -100% below watch threshold 10%,,417.8989769527275,106.95508704693123,0.45,2026-06-30,Financials | Banks | Banks | Banks,39,13.481315257379515,,0.7861812292608251
ASBI,Asuransi Bintang Tbk.,Financials,Financial,430.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,Financials | Insurance | Insurance | General Insurance,7,10.281517474681191,,0.5473303505986757
ASDM,Asuransi Dayin Mitra Tbk.,Financials,Financial,515.0,57.5,77.8,82.5,72.6,5,,,,,False,,,,,,,,,371.2638978605071,-0.38715345867940565,-0.279099227455326,SKIP,MOS -39% below watch threshold 10%,,515.0,227.52779572101414,0.45,2026-06-30,Financials | Insurance | Insurance | General Insurance,7,10.281517474681191,,0.5473303505986757
ASGR,Astra Graphia Tbk.,Industrials,Cyclical,1790.0,58.3,100.0,91.8,83.4,9,8.34362788468876,0.48189518779710877,0.8545573014325358,2.0751400414918186,False,1126.4464235751082,2358.756808869255,2045.8922244420642,2520.6963429236225,3033.6815953610053,0.12507610194952895,0.2898787650384443,0.40995785360691694,2535.9789883699373,0.29415818971332786,0.4167480381954958,WATCH,MOS 29% attractive but short of buy threshold 30%,,2841.5377178352837,,0.45,2026-06-30,Industrials | Industrial Services | Business Support Services | Business Support Services,10,13.35995628193082,9.538398395217746,1.4057675482565506
ASHA,Cilacap Samudera Fishing Industry Tbk.,Consumer Non-Cyclicals,Ordinary,62.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,"Consumer Non-Cyclicals | Food & Beverage | Agricultural Products | Fish, Meat & Poultry",9,8.671024281367984,16.396383712344086,1.245367442390432
ASII,Astra International Tbk.,Industrials,Cyclical,5050.0,51.7,75.1,80.5,69.1,5,3.441118770860238,0.13820982817683236,0.14060331027863082,7.2353754663564995,False,-986.2960330267813,6454.219796515273,3227.1696904093824,6159.589324852101,9320.031154510732,-0.5648386928669321,0.18014014674245238,0.45815631769043086,6901.810732830345,0.2683079563485713,0.3666951946198702,WATCH,MOS 27% attractive but short of buy threshold 30%,,8142.6098986742945,,0.45,2026-06-30,Industrials,23,11.957593259920444,8.600347857944449,1.0083627901114305
ASJT,Asuransi Jasa Tania Tbk.,Financials,Financial,153.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,Financials | Insurance | Insurance | General Insurance,7,10.281517474681191,,0.5473303505986757
