Ticker,PBV x ROE,Close Price,Price to Equity Discount (%),Relative PE ratio (TTM),EPS Growth,Debt to Total Assets Ratio,Liquidity Differential,CCE,Operating Efficiency,Dividend Payout Efficiency,Yearly Price Change,Composite Rank,Net Debt to Equity
BHAT,,1770.0,-93.46292213924838,,,0.2118141914968923,2.114644734682414,0.2206622552254788,-65.98410129589732,0.0,1.0946745562130178,0.4931,-0.018160549218437433
BHIT,0.003138882796470204,27.0,629.9229121978361,0.4639643834660813,-1.1728611932938855,0.13502494579469912,1.1206569983612384,0.037888383680106656,0.10805564284833465,0.0,-0.1,0.803,0.4218449021676103
BIKA,,55.0,,,,,,,,,0.0,0.015,
BIKE,,510.0,,,,,,,,,-0.3780487804878049,0.4171,
BIMA,,82.0,,,,,,,,,0.782608695652174,0.0278,
BINA,-0.9258373306124673,4080.0,-88.1294313310431,-5.947521190192837,-0.16280364724716365,0.0010348566942956507,,0.1400583864021816,,0.0,-0.07061503416856492,0.5557,-1.6117315756365946
BINO,,113.0,,,,,,,,,0.018018018018018018,0.2225,
BIPI,-0.0065885474407580405,163.0,-18.806312097231746,-17.864033397422272,0.2662759036779606,0.3896527918150432,1.218687105947384,0.0137056127637188,0.0620536614093971,0.0,0.8314606741573034,0.535,1.2259231244448678
BIPP,-0.027078377086703086,76.0,105.9053870285581,-0.6758583526171157,-2.545119301587726,0.37862411759380216,1.4501669675189102,0.009742083837605692,-0.0581367294676405,0.0,1.054054054054054,0.4786,0.8514614473128589
BIRD,0.07025525942179012,1630.0,49.90120019426294,0.49150130289885613,-0.001983095321587927,0.21633680747143447,1.144816732765807,0.13465554633124413,0.12127319809531081,0.6451065058106819,-0.15324675324675324,0.6742,0.13475028236204334
BISI,0.031735604284183955,700.0,66.69170924622702,0.8799114386022938,0.2758829873281208,0.0,11.151260265177834,0.08958910765878893,0.08167304393719488,0.42121180666446545,-0.21348314606741572,0.6645,-0.09754562600020683
BJBR,0.039669940060803315,795.0,93.27217929468654,0.5236167173443949,-0.06460535265637432,0.0934390880640682,,0.12430635791084262,,0.7261091100241408,0.019230769230769232,0.705,-0.435808147829104
BJTM,0.07060507538626414,520.0,66.90310071021524,0.3945018137066068,0.1460362220319922,0.03503496121562695,,0.11484657656359762,,0.5536072771265995,0.0196078431372549,0.62,-0.9924915737484626
BKDP,-0.5138976096374879,169.0,-76.40122500005576,-2.7111791667341754,-0.09128007805111371,,0.907518044855864,0.0029765668680419933,-0.8868934384376075,0.0,4.121212121212121,0.4149,-0.007234571767777843
BKSL,0.04798730755082165,78.0,17.178052904581094,1.1775918665771783,,0.12923463611803968,2.116454848981655,0.010762061053033468,0.36680366352898547,0.0,-0.4967741935483871,0.6257,0.1686507103405615
